Country,PWT_Code,WDI_Code,pop75,pop09,gpop,k1975,k2009,kpw1975,kpw2009,hc1975,hc2009,rgdpwk1975,rgdpwk2009,rgdpch1950,rgdpch1955,rgdpch1960,rgdpch1965,rgdpch1970,rgdpch1975,rgdpch1980,rgdpch1985,rgdpch1990,rgdpch1995,rgdpch2000,rgdpch2005,rgdpch2006,rgdpch2007,rgdpch2008,rgdpch2009,gy7509,prodgrowth,ki1975,ki2009,meanki,natsav09,grodomsav75,grodomsav09,govsp75,govsp09,privcap75,privcap09,fdi75,fdi09,imports75,imports09,trade75,trade09,openfrac,tradetax09,martax09,migration10,labfor75,labfor09,labpop75,labpop09,indgdp75,indgdp09,agrigdp75,agrigdp09,aggdpperagworker09,percemployagr10,natcap00,mindep09,endep09,fordep09,co2emm07,tfr75,tfr09,infmor09,malaria94,malariaecology,calories07,lifeex75,lifeex09,agedep75,agedep09,avgsch75,avgsch2010,secsch09,collegeadultpop2010,compcollegeadultpop2010,avgyrsfemaleed,testscores09,intuser09,tele09,cells09,comp05,gini75,gini09,topincsh09,botincsh09,laborshare,ethnicfractionalization,rulelaw2009,corrcon09,polrights10,instability,soccapability,thrift,obedience,perseverance,faith,techvstrad,trust,work,wellbeing,africa,asia,westerneurope,latitude,area,popden60,A__missing_values
Bahamas,BHS,BHS,189139,308000,1.434169378,,32641163247,,194069.4102,,,31319.68119,46869.92046,,,,,19069.96,12883.03,19742.23,21780.79,22054.83,20888.72,24159.45,27464.81,28601.24,29122.7,29349.55,28396.37,2.324559937,,10.07377,39.61349,24.73014,25.05521,,,,,,,,,,,,,,43.39406609,,2000,77800.39,186603.3028,41.13397554,60.58548792,,,,,,2.3121,,,,,6.435989437,3.311,1.996,8.5,,0.066113003,2701,66.77860976,73.86414634,81.80251644,47.71925578,,,,,,,,33.87667429,37.740443,105.0039068,,54.09,,,,,,0.798191758,1.375808211,1,-0.882988286,,,,,,,,,,,,,24.25,,,54
Bahrain,BHR,BHR,258789,1144000,4.371391512,,93310165254,,173609.5601,1.845682,2.873022,72157.46453,72446.6551,,,,,22315.91,23828.06,30216.52,18668.34,18651.21,19508.87,20968.02,22389.6,23238.94,24410.6,25000.16,23548.2,-0.03474851,,19.19963,43.4154,35.89851,54.08233,,,,,,50.13002405,,1.248607967,,,,,,,,20000,85458.1,371847.9585,33.02230775,32.50419218,,,,,,0.6195787,961,,,0,29.55087682,5.556,2.233,9.5,,,,64.65065854,76.07609756,82.68282524,40.11078204,2.6911,9.4189,96.43201,11.7,4.5,9.0501,,82.03691092,30.12105277,199.3750892,169.04,,,,,,0.50212997,0.507587136,0.297215216,6,0.088821846,,,,,,,,,,,1,,26,,,44
Bangladesh,BGD,BGD,76200000,154000000,2.069385705,77470000000,5.02813E+11,2523.452769,6736.964573,1.377077,2.22705,,2736.689637,,,802.0669,780.8112,794.3546,679.7022,715.3472,757.3105,808.939,873.619,987.4064,1191.929,1242.34,1290.238,1355.458,1397.117,2.119151016,,8.877851,28.81987,19.4403,19.38326,0.942436652,17.24745086,3.163783985,5.262354033,,0.708201031,0.007957006,0.754530732,8.100547254,26.55240314,10.99562615,45.98002717,0.114285714,24.34646198,,-570000,30700000,78619078.72,,51.05134982,,28.65747369,,18.72844738,206.7208383,45.3757032,1388,0,2.086568468,0.562299046,0.277112443,6.795,2.288,41.2,35.72466075,6.6128492,2250,45.27460976,66.56460976,92.37805583,54.65618762,1.1853,4.7718,,4.4,2.8,4.2938,,0.380530823,0.938782423,31.06877281,11.85,36,31.02,40.77,9.36,,0.045434002,-0.721989179,-0.961259475,3,1.547447064,,54.4,19.1,44.7,74,92.1,22.2,4.3,65.26666667,,1,,23.814289,135886.9,3.839818,13
Barbados,BRB,BRB,247147,284700,0.416037332,11390000000,24354903020,110673.642,144246.3367,2.533963,2.836348,38200.5693,42996.47693,,,7647.782,9273.618,14266.78,15907.21,20916.53,19960.33,21871.19,20808.54,23376.45,23370.84,24407.38,24545.82,24513.65,22917.24,1.07387353,-0.132940367,27.28585,29.89425,26.08295,27.89148,9.194981575,18.43532684,16.59281158,,5.542527862,9.598518053,5.702645334,8.296002944,60.41358948,64.58831711,110.7951736,125.2086231,0.971428571,,,-1250,102915.2,151745.88,41.64129041,53.30027397,18.56979752,,13.33143044,,,2.7237354,,,,,5.282753798,2.431,1.538,9.8,,,3055,70.34331707,77.23556098,70.40174854,38.03312294,7.1035,9.3411,,2.2,1.4,9.4846,,,53.03432966,131.7303183,148.39,48.860001,,,,,,0.972883661,1.339632912,1,-1.094347704,,,,,,,,,,,,,13.16667,,5.3720932,31
Belarus,BLR,BLR,9360184,9769913,0.126007685,,2.16644E+11,,43197.43772,,,,25184.91963,,,,,,,,,,4333.932,6251.944,9406.603,10065.42,11178.14,12314.15,12786.74,,,,27.00333,,30.25027,,26.93490304,,16.70219563,,3.672707687,,3.842781991,,62.11881295,,112.8636784,,16.44811438,,0,,4960323.05,,50.77141475,,42.47818342,,9.588146827,2632.05412,8.8861076,,0,0.912966285,0,6.879724593,2.17,1.5,10.9,0,0.000154,3086,70.1102439,70.40731707,55.11700424,39.47052543,,,,,,,,45.91555418,41.0772017,100.2400911,,,27.22,36.35,9.17,,0.322184,-0.935136794,-0.781152057,7,-0.366474892,,51.1,34.6,44,14.1,33.1,29.6,3.2,50.03333333,,,,53.547089,,,42
Belgium,BEL,BEL,9794800,10400000,0.176335805,4.754E+11,1.17959E+12,121193.9825,254798.2618,2.657415,3.020139,46453.04761,74980.79771,7982.722,9209.444,10240.59,12811.19,15896.94,18603.59,21792.18,22226.85,26233.64,27689.11,31495.45,33724.13,34621.98,35583.94,36111.58,34624.98,1.827120041,0.42881591,24.05551,26.24124,24.00346,24.49464,25.32294336,22.90704737,21.12373532,24.67287019,,16.99521383,1.473321446,-8.247623568,49.85756419,70.22396377,99.84475469,143.1873264,1,,,200000,3922637,4802560.162,40.04815821,46.1784631,38.48000783,21.71238702,3.290344072,0.674762498,16797.38719,1.2525706,6950,0,0,0.003251493,9.688874333,1.736,1.850130364,3.8,0,1.9E-05,3690,71.94,80.62682927,56.81194582,51.70590712,7.5444,10.5664,,25.9,20.4,10.4733,511,75.20089426,39.44104791,115.110541,348.04,28.25,32.9658,41.38141947,8.503571296,0.74000001,0.55540001,1.3714184,1.434957079,1,-0.785629964,,43.3,42.8,43.8,13.7,61.4,30.7,,77.76666667,,,1,50.662449,31318.33,,5
Belize,BLZ,BLZ,135611,308000,2.412674382,,6954199534,,54332.61195,2.30321,2.646413,14948.53362,18819.02984,,,,,4298.416,4556.962,5530.74,4507.503,6229.208,7562.018,7736.97,9026.637,9530.845,9253.158,9285.308,8460.331,1.819800367,,34.80141,27.95913,26.13342,17.51119,,,,,,6.300612896,,7.047961649,,,,,,,,-1000,41340.12,138465.2647,30.48434124,44.95625477,,,,,1894,23.9616613,1333,,,,1.364443018,6.278,2.837,15.7,100,0.77960497,2719,68.69131707,76.59241463,106.6859342,64.60254863,6.9265,9.1825,75.6108,8.5,5.4,9.1029,,10.80432173,9.354141657,48.55432173,131.98,,,,,,0.70153999,-0.382262966,-0.064336394,1,-0.077101238,,,,,,,,,,,,,17.215231,22127.11,,42
Benin,BEN,BEN,2995605,8792000,3.166752949,7138000000,23598519747,5739.663098,6483.343502,1.191376,1.761713,2242.886701,2651.845968,,,801.3328,800.4949,887.7229,931.1356,962.007,1122.498,1071.167,1093.966,1150.815,1190.413,1228.666,1254.358,1085.875,1115.713,0.531894191,-0.393837718,33.12674,22.95549,22.27512,13.78034,0.417353653,10.65808063,9.251216726,,0.27920022,,0.27920022,1.390524072,33.41298201,28.17322684,47.94122793,42.02119197,0.285714286,18.38230575,,50000,1243627,3699064.28,41.51505289,42.07306961,16.1643291,,30.53866654,,,44.3226227,,0,0,1.183691945,0.461430608,6.841,5.378,74.8,100,17.576019,2512,48.17770732,61.81046341,93.2323663,86.22068947,0.638,3.2546,,2.9,1.9,2.0376,,2.238392118,1.423046597,56.33304365,3.79,,38.62,45.9,6.91,,0.78721601,-0.687801276,-0.647749739,2,-0.442741956,,,,,,,,,,1,,,9.6165133,116045.6,0.20222379,21
Bermuda,BMU,BMU,53829,67800,0.678675999,,5953786210,,,,,,,,,,,25683.04,26889.09,32682.63,33166.4,34485.13,35043.81,35125.2,46567.13,48756.42,50492.64,50457.25,52089.88,1.944853117,,8.691658,16.25586,13.8598,5.508894,,,,,,,,,,,,,,,,,,,,,,7.500066981,,0.833340776,,,4945,,,,8.015,,1.7616,,,,,,79.14617073,,,,,,,,,,83.85093168,89.59627329,131.9875776,543.37,,,,,,,0.907078015,1.356136548,,-0.719259192,,,,,,,,,,,,,32.333328,,,69
Bhutan,BTN,BTN,372749,691000,1.815395744,,12289950919,,40839.26826,,,2117.282527,10392.67536,,,,,838.0179,744.6345,885.7264,1030.697,1645.94,2202.574,2787.357,3564.216,3804.4,4076.731,4174.007,4567.567,5.334830774,,37.28408,37.25801,44.96262,33.2229,,63.58448898,,22.04658016,,,,2.847892658,,48.325957,,106.3152861,,0.988474265,,10000,131093.4,303693.581,35.16934988,43.949867,,45.00626656,,17.57012914,220.6085549,92.9378531,4783,0,0,5.331089382,0.856328028,6.687,2.563,52.4,92.02656746,0.62489599,,43.25046341,66.51236585,78.78591024,54.66171334,,,61.70796,,,,,7.170154947,3.778384851,46.90027031,20.42,,46.74,53.00985761,5.355481466,,,0.163757465,0.836854644,4,-0.68528623,,,,,,,,,,,1,,27.395069,38303.91,,39
Bolivia,BOL,BOL,4914316,9775000,2.022575082,27560000000,50135430082,14264.8996,11189.4286,1.910303,2.803863,8314.23827,8202.13321,3232.713,2978.116,2713.58,3066.125,2776.955,3268.661,3331.229,2776.135,2800.573,3050.007,3223.497,3428.268,3534.881,3619.288,3743.897,3793.438,0.437918562,-0.554280085,18.35847,13.1868,12.55522,18.9984,16.74425371,19.78943673,10.48048547,14.70876483,,1.536330876,2.561527848,2.439615141,32.21663411,32.90444912,58.15495241,68.62707395,0.857142857,,,-100000,1932015,4520879.569,39.31401644,46.24940736,32.73217157,36.24450711,21.79392464,13.82934328,358.5981111,39.9361978,,1.517368838,9.656307605,0,1.383738245,6.183,3.371,39.7,4.5428399,1.225008,2093,48.23297561,66.01063415,86.86549197,69.39298817,3.6567,9.2046,,17.5,9.5,8.4404,,11.1782992,8.214463148,72.47796278,23.31,,57.26,60.99,2.78,0.67000002,0.73962498,-1.223044881,-0.707805945,3,0.823186157,-0.34999999,,,,,,,,,,,,-16.726351,1090806,0.031580798,15
Bosnia and Herzegovina,BIH,BIH,3980000,4613000,0.434107604,,62824296221,,26313.02728,,,,16837.83056,,,,,,,,,1742.328,2242.333,5883.093,4981.675,5359.171,6249.944,6846.624,7115.79,,,,19.03722,,-0.2322276,,-2.435398663,,22.88072018,,1.277111005,,1.376483994,,57.9777406,,91.42008254,,0.007764358,,-10000,,1949487.444,,42.26072933,,28.1346768,,8.011904826,7058.882042,2.3670213,3183,0.925695345,0.702890565,,7.675334334,2.412,1.212,12.5,0,0.002123,3084,68.63158537,75.25043902,57.13784282,41.34979184,,,91.20655,,,,,37.74087839,26.51328965,86.47738439,,,36.21,43.18,6.65,,,-0.389166554,-0.305042213,4,0.571750196,,39.2,42.2,44.3,22.5,,21.9,3.8,64.83333333,,,,,51385.29,,42
Botswana,BWA,BWA,704591,1991000,3.055220034,4240000000,77081819351,15237.16978,75760.63256,1.497602,2.715605,5332.299366,17727.47469,,,578.0367,628.0762,1125.787,2105.906,2987.487,3778.304,5803.38,5583.703,8579.874,9309.373,9663.925,9757.914,10934.77,8871.526,4.229708952,0.793979625,52.49867,45.90886,38.85894,29.32412,21.70188464,13.03146424,18.97963069,24.20252593,-10.78196841,4.796470639,-10.78196841,2.127826935,63.79211879,44.60450834,107.3862555,78.19370907,0.6,,,15000,278266.9,996374.756,39.49339404,50.04393551,33.63617592,39.61562588,29.87817469,3.0983094,214.5418877,42.1638018,6752,2.504664535,0.274856957,0,2.638957613,6.477,2.822,42.6,36.15499139,6.162446,2235,57.54365854,54.95256098,100.1760727,58.93745955,2.0806,8.8993,,4.2,2.7,8.6856,,6.154540512,7.395449743,96.11858774,45.22,,,,,0.44999999,0.41024801,0.640648482,0.857274233,3,-0.906643527,,,,,,,,,,1,,,-22.26193,589403.2,0.008217,18
Brazil,BRA,BRA,109000000,199000000,1.770461596,1.221E+12,3.91419E+12,30911.39241,37560.3304,1.699019,2.543166,15867.43354,16006.61118,1777.014,2131.145,2581.051,3177.516,3998.796,5750.125,7223.384,6366.598,6398.989,6786.765,6975.962,7386.742,7586.397,7942.296,8155.356,8160.394,1.029620172,-0.956217671,31.09604,19.59397,22.6096,15.82329,22.87186822,16.45263013,10.63752405,21.80755173,0.961931935,5.413384336,1.052466706,1.627390895,11.5055803,11.17742281,19.04415311,22.29899225,0.257142857,2.183618377,,-229000,39500000,101452980.1,36.23853211,50.98139704,40.17375706,25.41692314,12.09889632,6.082460422,2140.497812,10.8114193,,1.531165204,1.5802784,0,1.935702891,4.499,1.827,17.3,6.659340113,2.1927299,3099,60.49207317,72.6414878,79.21554912,48.49855895,2.3848,7.1779,90.19606152,7.3,5.2,7.267,395.5,39.20000019,21.41959796,89.7929863,105.21,55.34,53.9,58.06,3.34,,0.54083598,-0.181961392,-0.065127405,2,-0.287988903,0.79000002,28.7,56.8,31.5,55.9,53.7,9.4,3.9,67.6,,,,-10.83416,8420640,0.085843898,2
Brunei,BRN,BRN,156223,388000,2.675649606,,30320167778,,158191.9265,2.090086,2.564493,211133.6164,90846.87333,,,,,59140.94,71688.69,99300.01,67308.12,54200.09,49386.85,49510.34,50021.04,51736.09,49092.64,45557.49,46228.93,-1.290374123,,2.615308,14.34286,9.554544,51.12275,,,17.28992203,,,,,,23.42622004,,113.4854196,,,,,3500,53044.24,197440.2,33.95418088,50.88664948,89.51775917,,1.335547213,,,0.2457,3448,,,,19.7456061,4.904,2.052,5.4,0,2.8897769,2987,69.16734146,77.5055122,77.47792494,43.24210028,4.2668,8.5693,98.20404,9.8,6.3,8.5078,,79.78293014,20.15301974,106.6642147,84.77,,,,,,,0.79242896,0.956082488,6,-1.349596256,,,,,,,,,,,1,,4.4758592,6733.067,,41
Bulgaria,BGR,BGR,8720742,7205000,-0.561556166,,1.92917E+11,,56753.32017,2.446515,2.905648,7589.497426,21969.75632,,,,,2737.605,3882.091,5154.449,6051.337,6560.014,6424.39,6418.576,9188.173,9825.033,10530.58,11199.43,10911.88,3.0396417,,28.66175,21.75027,21.46093,13.50107,,17.70064999,,16.25135418,,8.175111441,,9.430227221,,55.75564965,,103.5875988,0.257142857,0.522225125,,-50000,4460732,3578560.193,51.15083097,49.66773342,,30.31274806,,5.628966321,3857.756901,3.988262,1219,0.668005046,0.40092168,0,6.754691659,2.23,1.56789,8.3,0,0.005098,2761,71.0497561,73.41219512,49.12504713,44.64557274,7.4565,9.9496,,17.7,12.1,9.9566,433.5,44.75867325,28.53414134,139.9731659,59.25,17.83,45.32,51.01,5.02,,0.40211409,-0.045269026,-0.115645702,2,-0.470815602,,42.7,25,56.9,18.5,63.3,22.2,3.5,49.83333333,,,,42.791149,119438.6,,18
Burkina Faso,BFA,BFA,5673472,15700000,2.993704225,5621000000,25720962875,2112.574951,3615.6393,,,1351.371905,1984.579886,,,589.8848,513.7058,567.4421,633.7638,663.6335,665.8033,658.21,670.1342,794.8952,870.1348,900.5737,904.7002,900.0142,902.4911,1.039654408,,14.46533,21.63666,19.99755,4.255952,0.301355943,,12.8924457,,-0.104745,,0.031770995,2.10552179,30.15111635,,37.4993707,,0.057142857,11.6301719,,-65000,2660734,7139601.874,46.8978079,45.47517117,27.24703367,,30.31976033,,,92.0488733,1210,0,0,1.564524251,0.114986624,6.868,5.841,90.8,100,32.202999,2669,43.2644878,53.30856098,91.10369038,93.53873482,,,19.76681,,,,,1.130931177,1.059851328,20.93682353,2.37,,39.6,47.07,6.96,,0.73773801,-0.282366264,-0.441572444,5,0.115159221,,47.6,70.5,27.1,68.1,,14.7,,,1,,,12.26572,276522.2,,26
Burundi,BDI,BDI,3676308,9511000,2.795705988,1271000000,4756162150,692.2936981,908.7273095,1.239987,1.646227,687.3194901,766.0450555,,,258.7328,264.3918,351.446,343.2432,368.2175,412.9335,447.5509,352.495,395.3057,368.515,373.7012,370.8327,369.5545,368.025,0.205034226,-0.503411503,6.214741,13.26323,11.70517,0.4666077,-3.146048436,,11.5459676,,,0.026294496,,0.026294496,19.00177059,,27.27741632,,0.028571429,,,323200,1835926,4569294.913,49.93939572,48.04221336,13.4790181,,65.67059044,,,89.2358258,,0.808530071,0,9.812596493,0.022905899,6.801,4.45,101.3,100,1.57119,1680,44.79126829,50.871,95.8285091,70.00627133,0.8664,2.6859,21.20878,0.9,0.6,2.1502,,0.78281846,0.379365869,10.0973224,4.67,,33.27,42.75,8.96,0.75,0.29514399,-1.200857092,-1.122327411,4,1.424658101,,,,,,,,,,1,,,-3.5147741,28289.77,1.149318,25
